avg_accel,avg_res,gen,min_accel,min_res
0.018950506289982426,10572.53005398484,0,0.017079489914142397,5544.655441788285
0.018786815803057088,11667.916048089199,1,0.016841254660019688,5503.983939286801
0.01881264458463784,11662.199268098615,2,0.016674568015196758,5503.983939286801
0.01879469680936478,11741.950531549053,3,0.016660221015846813,5320.275036910373
0.018765787804126764,11785.581366402299,4,0.016628714012874204,5288.1891679819655
0.018780443848537595,11610.86536820422,5,0.016628714012874204,5288.1891679819655
0.01877167737279912,11491.81639526905,6,0.016628714012874204,5288.1891679819655
0.01877601429611126,11497.389122717073,7,0.016628714012874204,5288.1891679819655
0.01877550903178721,11506.291725374165,8,0.016628714012874204,5288.1891679819655
0.01877557739039937,11489.724402233955,9,0.016628714012874204,5288.189167981966
